date	study_day	time_period	time_window	390 Gavage Low	381 Gavage Low	389 Gavage Med	382 Gavage Med	384 Gavage High	393 Gavage High	378 IP Low	394 IP Medium	377 Ip Medium	388 IP High	379 IP High
16-Jan	1	Dose 1	PreDose	35.11285714	34.14	34.14285714	34.41285714	35.34142857	33.69571429	32.18428571	32.62	32.79714286	33.45428571	33.44285714
16-Jan	1	Dose 1	Dose	35.0825	34.0175	33.755	34.64	35.20875	33.47125	32.14125	33.05875	32.7625	33.345	33.20125
16-Jan	1	Dose 1	Post Dose 1	35.52285714	35.53285714	33.02285714	34.81857143	34.77	32.74857143	31.81571429	33.17	33.85142857	33.89857143	33.70714286
16-Jan	1	Dose 1	Post Dose 2	35.02571429	34.27428571	33.72571429	34.86428571	34.74428571	33.14571429	31.92428571	31.45857143	32.27428571	33.17857143	33.71428571
16-Jan	1	Dose 1	Post Dose 3	35.36285714	34.57571429	34.09428571	33.9	35.39857143	33.20285714	31.58428571	32.46571429	31.25714286	33.79714286	33.86714286
16-Jan	1	Dose 1	Post Dose 4	34.94428571	34.63857143	34.21857143	34.62142857	34.74285714	33.59714286	31.59142857	33.58428571	31.77714286	33.59714286	33.83285714
16-Jan	1	Dose 1	Post Dose 5	36.18142857	35.65714286	34.09857143	34.48714286	36.01285714	33.37142857	33.25857143	33.43428571	32.21428571	33.53714286	34.1
16-Jan	1	Dose 1	Post Dose 6	36.33857143	35.48285714	33.88571429	34.23714286	36.1	33.91857143	33.44285714	33.66142857	33.00142857	34.11571429	34.00142857
17-Jan	2	Non Dose 1	PreDose	35.48428571	33.99428571	33.75571429	34.08857143	34.84428571	33.42857143	33.03285714	32.81428571	33.21285714	33.39714286	33.67
17-Jan	2	Non Dose 1	Dose	34.03714286	33.71857143	33.73142857	34.04571429	34.63571429	32.82714286	32.52	33.07	32.51142857	33.43857143	33.39571429
17-Jan	2	Non Dose 1	Post Dose 1	35.66857143	34.60857143	33.35285714	34.28285714	35.88285714	33.19285714	32.81285714	32.9	33.27	33.50571429	33.62
17-Jan	2	Non Dose 1	Post Dose 2	34.40857143	33.81428571	33.1	34.62428571	34.84142857	33.04	32.56714286	32.77285714	32.84571429	33.13285714	33.08714286
17-Jan	2	Non Dose 1	Post Dose 3	35.01857143	34.03714286	33.45	34.49142857	34.47428571	33.02714286	32.27428571	32.76857143	32.64857143	33.08714286	33.28142857
17-Jan	2	Non Dose 1	Post Dose 4	34.36142857	34.46142857	33.37714286	34.19142857	35.12714286	33.20428571	32.42714286	32.76	32.83428571	33.25285714	33.63428571
17-Jan	2	Non Dose 1	Post Dose 5	35.65571429	34.86142857	33.67857143	34.70857143	35.43428571	33.43571429	33.15428571	33.56857143	33.43714286	33.67714286	33.80142857
17-Jan	2	Non Dose 1	Post Dose 6	36.21142857	35.53285714	34.15571429	35.64142857	36.81857143	33.85714286	33.78714286	33.95571429	34.20142857	34.09857143	34.36428571
18-Jan	3	Dose 2	PreDose	34.82	33.88142857	33.20142857	34.83142857	34.89	32.75857143	32.83428571	32.97285714	32.4	33.59571429	33.01571429
18-Jan	3	Dose 2	Dose	31.14	30.839	31.7	32.552	35.983	33.109	32.602	32.787	32.329	33.198	33.078
18-Jan	3	Dose 2	Post Dose 1	31.50571429	30.88857143	31.69571429	31.56714286	35.12285714	33.49285714	32.63	32.93857143	30.65142857	33.74285714	33.61714286
18-Jan	3	Dose 2	Post Dose 2	33.21428571	32.22285714	32.57857143	31.39142857	34.54428571	33.10714286	32.99142857	32.64285714	31.06142857	33.43857143	33.16428571
18-Jan	3	Dose 2	Post Dose 3	33.89428571	32.50714286	32.63142857	30.42571429	35.36142857	32.55142857	33.86857143	32.91285714	31.31857143	33.39142857	33.31
18-Jan	3	Dose 2	Post Dose 4	34.31285714	33.13714286	32.72428571	30.47142857	34.64	32.37857143	32.28857143	32.67285714	31.36	32.98571429	33.76142857
18-Jan	3	Dose 2	Post Dose 5	34.35571429	34.54714286	32.45285714	30.93571429	35.68857143	33.94142857	33.01	33.17857143	33.66	33.60857143	33.26
18-Jan	3	Dose 2	Post Dose 6	35.26428571	35.36285714	34.50285714	31.83857143	36.88571429	33.59571429	33.39	33.59714286	33.42857143	33.68	33.9
19-Jan	4	Non Dose 2	PreDose	34.56	33.57714286	33.69	32.82142857	34.85714286	32.78	32.99857143	33.36142857	32.39142857	33.21857143	33.07
19-Jan	4	Non Dose 2	Dose	34.44142857	33.75571429	33.15857143	32.38	35.32857143	32.52142857	32.58428571	32.82	33.05	33.13142857	32.86428571
19-Jan	4	Non Dose 2	Post Dose 1	34.72428571	33.67714286	33.33571429	33.33	36.06285714	32.82285714	32.80857143	32.79285714	32.66428571	32.91714286	32.69571429
19-Jan	4	Non Dose 2	Post Dose 2	34.4	33.98857143	33.04142857	33.25714286	34.67571429	33.26857143	32.70285714	32.38142857	32.59571429	33.53	33.11
19-Jan	4	Non Dose 2	Post Dose 3	34.22428571	33.49428571	33.46428571	33.24285714	35.43571429	33.09428571	32.62571429	33.24571429	33.13	33.07	32.70142857
19-Jan	4	Non Dose 2	Post Dose 4	35.03428571	33.97571429	33.21571429	32.99571429	36.30857143	33.14714286	32.86428571	33.26285714	32.91	33.33714286	32.75428571
19-Jan	4	Non Dose 2	Post Dose 5	34.79714286	34.65	35.04	34.02142857	36.20714286	33.51571429	32.63	33.10714286	32.82	33.78428571	33.36714286
19-Jan	4	Non Dose 2	Post Dose 6	35.36	35.39571429	34.22714286	34.27428571	37.43285714	33.67142857	33.59857143	33.95285714	33.97571429	34.28714286	34.04142857
20-Jan	5	Dose 3	PreDose	34.52142857	33.61571429	33.41142857	34.49428571	35.47	33.09571429	32.70571429	32.92285714	32.41428571	33.36857143	32.52714286
20-Jan	5	Dose 3	Dose	34.66714286	34.03857143	32.87857143	33.80571429	35.50428571	33.20142857	33.09	33.10285714	32.31	33.35285714	32.56428571
20-Jan	5	Dose 3	Post Dose 1	34.78285714	34.53142857	33.43714286	33.53285714	37.06285714	33.04714286	33.68714286	33.35428571	34.27428571	33.74285714	33.41285714
20-Jan	5	Dose 3	Post Dose 2	34.09142857	34.05285714	33.20857143	34.67571429	35.09571429	32.33714286	33.02571429	32.93285714	33.08571429	33.8	33.34714286
20-Jan	5	Dose 3	Post Dose 3	34.24142857	33.50428571	33.73428571	34.28	34.81571429	32.77	32.48714286	32.86857143	32.00714286	33.02142857	32.62285714
20-Jan	5	Dose 3	Post Dose 4	34.57857143	34.13428571	32.81142857	33.96571429	37.03142857	32.86428571	32.63	32.53142857	32.22428571	33.58	32.87714286
20-Jan	5	Dose 3	Post Dose 5	34.58714286	34.09428571	33.51285714	33.73428571	35.89285714	33.40571429	32.82285714	33.23285714	32.01428571	33.28714286	32.48857143
20-Jan	5	Dose 3	Post Dose 6	35.23142857	34.72428571	34.09857143	34.11428571	37.49428571	33.42428571	33.51	33.55285714	32.97	33.74285714	33.89571429
21-Jan	6	Non Dose 3	PreDose	34.35571429	34.33428571	32.79714286	33.98857143	35.43285714	33.31571429	32.47857143	32.64571429	32.66714286	32.73285714	32.58
21-Jan	6	Non Dose 3	Dose	34.51571429	33.31428571	32.31	33.03714286	35.79714286	33.05428571	32.72571429	32.34714286	31.96571429	32.62285714	32.48714286
21-Jan	6	Non Dose 3	Post Dose 1	34.48	34.11428571	33.03	34.22142857	35.62857143	33.56285714	32.66285714	32.45428571	32.20571429	32.96	33.04428571
21-Jan	6	Non Dose 3	Post Dose 2	34.23428571	33.84857143	32.76571429	34.58428571	35.48714286	32.95571429	31.98142857	33.01714286	31.72285714	32.67428571	33.04285714
