date,study_day,time_period,time_window,887 Free Feed Control,883 Free Feed Control,884 Free Feed low,892 Free Feed Low,864 Free Feed Med,889 Free Feed Med,869 Free Feed high,894 Free Feed High,886 Free Feed High,893 IP Control,865 IP High,872 IP High
22-Jul,1,Dose 1,PreDose,476.0428571,554.2571429,516.5857143,395.9,390.8571429,302.7571429,414.6714286,332.5142857,382.8,311.4571429,587.8571429,303.8142857
22-Jul,1,Dose 1,Dose,386.7142857,573.4714286,515.3714286,433.8142857,517.4285714,347.6714286,351.7571429,365.0857143,359.7714286,347.5571429,567.4285714,409.2142857
22-Jul,1,Dose 1,Post Dose 1,390.8571429,573.0857143,417.4,434.6857143,568.3285714,358.9285714,446.1857143,348.9285714,533.4142857,322.6285714,613.0142857,340.8571429
22-Jul,1,Dose 1,Post Dose 2,504.7285714,562.3571429,581.2,382.8857143,451.3142857,388.4428571,325.2,396.0857143,381,366.7571429,615.0285714,328.0714286
22-Jul,1,Dose 1,Post Dose 3,455.8285714,528.5857143,523.9,427.9428571,408.9428571,371.4,395.8,437.3285714,458.6142857,459.8714286,565.6285714,292.7142857
22-Jul,1,Dose 1,Post Dose 4,537.0428571,529.3,497.6714286,471.2857143,394.8857143,487.5571429,382.0142857,424.0714286,459.1,388.8571429,543.8285714,430.0714286
22-Jul,1,Dose 1,Post Dose 5,511.4,576.5142857,459.9142857,459.4857143,378.9,406.5,380.6142857,351.3142857,460.8428571,325.4,500.2571429,411.9571429
22-Jul,1,Dose 1,Post Dose 6,433.5428571,613.2857143,468.6571429,427.3285714,402.8285714,360.4571429,388.9142857,425.7571429,464.9142857,411.2714286,444.2714286,348.2571429
23-Jul,2,Non Dose 1,PreDose,518.8285714,542.4428571,426.5857143,408.3285714,419.7428571,361.7714286,463.8285714,305.6,391.5,371.0857143,496.2857143,361.3428571
23-Jul,2,Non Dose 1,Dose,517.8285714,535.0428571,476.6428571,431.8571429,371.5142857,477.8857143,385.1428571,413.6714286,434.0142857,379.2714286,453.4,428.3571429
23-Jul,2,Non Dose 1,Post Dose 1,409.7,499.1428571,401.8285714,453.2,382.8428571,420.7142857,330.5428571,345.5,377.8857143,410.8428571,495.8714286,361.0571429
23-Jul,2,Non Dose 1,Post Dose 2,520.9285714,515.3714286,409.7285714,411.8857143,381.0285714,413.2571429,447.1571429,302.5,426.2285714,354.8142857,524.3714286,373.5
23-Jul,2,Non Dose 1,Post Dose 3,488.4,509.4142857,480.7857143,363.8142857,400.7857143,454.2428571,362.4857143,412.2142857,443.2571429,420.3714286,491.4714286,323.2142857
23-Jul,2,Non Dose 1,Post Dose 4,441.8285714,619.5857143,434.3285714,399.6142857,413.2285714,423.0142857,265.4857143,382.0857143,410.0428571,392.5,492.8285714,308.6428571
23-Jul,2,Non Dose 1,Post Dose 5,517.6857143,520.3142857,373.3857143,425.2428571,411.6714286,503.2,353.6,367.4285714,439.3428571,369.2428571,487.0857143,354.3857143
23-Jul,2,Non Dose 1,Post Dose 6,424.7,549.4571429,405.3428571,438.1142857,363.8571429,500.9142857,363.9571429,414.8571429,393.2571429,417.8,511.3142857,390.3571429
24-Jul,3,Dose 2,PreDose,395.6,494.1285714,451.5285714,412.7714286,415.3285714,485.5285714,379.1428571,411.9142857,469.2571429,423.2285714,493.8857143,258.4142857
24-Jul,3,Dose 2,Dose,476.9571429,615.2285714,484.9857143,387.8428571,434.3428571,385.7714286,392.4571429,379.3714286,423.3571429,372.1142857,483.8428571,274.8142857
24-Jul,3,Dose 2,Post Dose 1,399.5857143,417.8571429,481.4857143,395.8142857,466.4571429,463.4,445.6571429,368.5714286,502.1857143,356.5428571,497.2714286,345.2857143
24-Jul,3,Dose 2,Post Dose 2,359.0428571,553.3857143,442.7857143,445.2,359.6571429,504.5285714,360.8285714,341.0285714,488.6,299.4571429,541.5571429,328.1428571
24-Jul,3,Dose 2,Post Dose 3,430,552.5428571,455,382.5857143,419.4,478.4142857,445.2857143,403.6142857,435.8857143,360.5571429,477.5,356.3857143
24-Jul,3,Dose 2,Post Dose 4,361.1571429,488.2,441.7714286,450.6857143,420.9,464.5571429,350.6714286,411.6428571,419.4571429,298.6142857,522.1714286,312.3714286
24-Jul,3,Dose 2,Post Dose 5,342.1142857,534.6428571,434.2571429,410.5571429,388.4,482.1571429,361.2428571,380.0142857,400.2857143,378.6571429,545.0142857,452.8714286
24-Jul,3,Dose 2,Post Dose 6,366.7,520.0571429,495.0142857,381.5571429,427.3714286,464.9857143,475.8285714,395.2571429,490.0428571,359.2285714,472.6142857,353.2285714
25-Jul,4,Non Dose 2,PreDose,411.3,501.1285714,468.0857143,434.6428571,444.2,401.8714286,374.3857143,377.8857143,441.2142857,478.4142857,538.3714286,344.0142857
25-Jul,4,Non Dose 2,Dose,412.8571429,569.3142857,404.4857143,406.5142857,379.4714286,519.3428571,407.9428571,437.7428571,441.4714286,411.2428571,502.5142857,320.2714286
25-Jul,4,Non Dose 2,Post Dose 1,419.4285714,524.0714286,434.6428571,443.4,424.3285714,464.5,355.9857143,427.5285714,423.7714286,457.2285714,414.0571429,441.5857143
25-Jul,4,Non Dose 2,Post Dose 2,443.3285714,562.0714286,475.5428571,400.3142857,372.5571429,463.2285714,327.2285714,422.7428571,478.7,382.8571429,464.0714286,304.1857143
25-Jul,4,Non Dose 2,Post Dose 3,461.3285714,514.8857143,366.7714286,420.4,390.1285714,499.0285714,398.6714286,411.6428571,424.1571429,475.9857143,540.7,366.8142857
25-Jul,4,Non Dose 2,Post Dose 4,446.8285714,573.2285714,459.3428571,388.8285714,416,413.5571429,336.2714286,386.3857143,533.3571429,492.5857143,464.8142857,419.5714286
25-Jul,4,Non Dose 2,Post Dose 5,381.1428571,584.2428571,409.8571429,383.2,394.5,498.7714286,365.1285714,419.5428571,491.5714286,415.2142857,523.0571429,344.7
25-Jul,4,Non Dose 2,Post Dose 6,444.8571429,561.0142857,489.3428571,404.3571429,430.7285714,538.3,406.2571429,372.1714286,406.1857143,326.2,512.4857143,296.7714286
26-Jul,5,Dose 3,PreDose,410.8428571,538.8142857,449.7,340.4714286,402.9285714,319.0428571,367.7571429,377.7,445.4142857,500.5857143,388.1142857,409.1
26-Jul,5,Dose 3,Dose,432.3285714,602.2714286,530.3285714,327.1428571,420.3571429,460.1,385.1,399.6,432.1571429,464.4428571,434.4428571,399.1428571
26-Jul,5,Dose 3,Post Dose 1,356.0428571,582.5428571,471.7857143,388.6428571,423.0285714,371.1,390.9142857,368.8857143,428.7,345.8571429,398.6285714,410.1857143
26-Jul,5,Dose 3,Post Dose 2,334.6714286,584.3,417.3142857,375.4142857,375.6857143,451.1,346.4428571,321.1142857,382.4,408.4428571,400.7857143,374.8571429
26-Jul,5,Dose 3,Post Dose 3,350.8571429,503.0142857,440.8857143,394.8571429,416.2142857,486.9,356.2285714,390.3571429,444.5714286,449.0714286,460.2714286,335.5857143
26-Jul,5,Dose 3,Post Dose 4,368.1,523.1428571,432.9,335.8571429,430.1857143,542.3428571,283.0714286,401.1,431.8285714,418.0142857,456.2,345.0571429
