date	study_day	time_period	time_window	887 Free Feed Control	883 Free Feed Control	884 Free Feed low	892 Free Feed Low	864 Free Feed Med	889 Free Feed Med	869 Free Feed high	894 Free Feed High	886 Free Feed High	893 IP Control	865 IP High	872 IP High
22-Jul	1	Dose 1	PreDose	41.08857143	41.08428571	41.08714286	41.09	41.03285714	41.06714286	41.07571429	41.05142857	41.07285714	41.08	41.04428571	41.03857143
22-Jul	1	Dose 1	Dose	41.07285714	41.08	41.06142857	41.07714286	41.03571429	41.05857143	41.05285714	41.02714286	41.07	41.04285714	41.03714286	41.02714286
22-Jul	1	Dose 1	Post Dose 1	41.07	41.08714286	41.06	41.08	41.10142857	41.06857143	41.05571429	41.05142857	41.09	41.06	41.05857143	41.03428571
22-Jul	1	Dose 1	Post Dose 2	41.11285714	41.08428571	41.05428571	41.08	41.04571429	41.06285714	41.04571429	41.05428571	41.08142857	41.07428571	41.05714286	41.04428571
22-Jul	1	Dose 1	Post Dose 3	41.11142857	41.07714286	41.08571429	41.07	41.04	41.05	41.06285714	41.04285714	41.07142857	41.05857143	41.04142857	41.04142857
22-Jul	1	Dose 1	Post Dose 4	41.10285714	41.06857143	41.07285714	41.07285714	41.05	41.04571429	41.03428571	41.03142857	41.06714286	41.07142857	41.02857143	41.04571429
22-Jul	1	Dose 1	Post Dose 5	41.09428571	41.07	41.07428571	41.06857143	41.03428571	41.04857143	41.03285714	41.04571429	41.05142857	41.06	41.03857143	41.04142857
22-Jul	1	Dose 1	Post Dose 6	41.09571429	41.07	41.07857143	41.07	41.04285714	41.05285714	41.05	41.03285714	41.05714286	41.06428571	41.02428571	41.02857143
23-Jul	2	Non Dose 1	PreDose	41.10428571	41.07571429	41.06857143	41.07714286	41.03142857	41.06857143	41.04285714	41.04857143	41.06714286	41.07714286	41.05714286	41.06
23-Jul	2	Non Dose 1	Dose	41.12142857	41.08142857	41.08285714	41.08285714	41.03571429	41.06285714	41.03285714	41.05428571	41.07142857	41.08428571	41.05571429	41.03714286
23-Jul	2	Non Dose 1	Post Dose 1	41.09285714	41.08428571	41.07714286	41.07285714	41.05428571	41.06428571	41.03857143	41.04	41.07285714	41.07	41.05	41.04571429
23-Jul	2	Non Dose 1	Post Dose 2	41.11285714	41.07142857	41.07857143	41.07428571	41.04142857	41.07142857	41.04714286	41.03714286	41.07285714	41.08	41.05285714	41.03
23-Jul	2	Non Dose 1	Post Dose 3	41.09714286	41.06	41.08571429	41.07714286	41.04571429	41.06857143	41.04	41.05428571	41.06714286	41.08428571	41.05428571	41.05142857
23-Jul	2	Non Dose 1	Post Dose 4	41.11714286	41.06714286	41.08142857	41.08714286	41.04142857	41.07285714	41.02285714	41.03571429	41.07142857	41.07428571	41.05285714	41.03285714
23-Jul	2	Non Dose 1	Post Dose 5	41.10571429	41.07571429	41.08	41.08857143	41.05	41.06142857	41.05	41.04571429	41.07285714	41.08285714	41.05714286	
23-Jul	2	Non Dose 1	Post Dose 6	41.09857143	41.06285714	41.07571429	41.08714286	41.04142857	41.06714286	41.02714286	41.05	41.06285714	41.06142857	41.05285714	
24-Jul	3	Dose 2	PreDose	41.09	41.08142857	41.06571429	41.09142857	41.03714286	41.06857143	41.03714286	41.03428571	41.07	41.07428571	41.05714286	41.04142857
24-Jul	3	Dose 2	Dose	41.07857143	41.08428571	41.06857143	41.08142857	41.04428571	41.06571429	41.03285714	41.04	41.07857143	41.08428571	41.06142857	41.03714286
24-Jul	3	Dose 2	Post Dose 1	41.08428571	41.08571429	41.05571429	41.08	41.04142857	41.06714286	41.04	41.04571429	41.05571429	41.08142857	41.05428571	41.05142857
24-Jul	3	Dose 2	Post Dose 2	41.09142857	41.07714286	41.04857143	41.07	41.04857143	41.07142857	41.03	41.02714286	41.06428571	41.07142857	41.04142857	41.04285714
24-Jul	3	Dose 2	Post Dose 3	41.09285714	41.09428571	41.06571429	41.06714286	41.04857143	41.05714286	41.03857143	41.03	41.06857143	41.08857143	41.05285714	41.03571429
24-Jul	3	Dose 2	Post Dose 4	41.08571429	41.07285714	41.05571429	41.06857143	41.03428571	41.06428571	41.02	41.02285714	41.05285714	41.05857143	41.04714286	41.02857143
24-Jul	3	Dose 2	Post Dose 5	41.10857143	41.08428571	41.06857143	41.07285714	41.04285714	41.06428571	41.02428571	41.03571429	41.06	41.05142857	41.04428571	41.03285714
24-Jul	3	Dose 2	Post Dose 6	41.10428571	41.07857143	41.06142857	41.06571429	41.05714286	41.05285714	41.03714286	41.05142857	41.05285714	41.06285714	41.05571429	41.02571429
25-Jul	4	Non Dose 2	PreDose	41.09142857	41.07	41.04857143	41.09	41.03428571	41.07857143	41.02857143	41.04	41.06	41.07	41.05714286	41.01714286
25-Jul	4	Non Dose 2	Dose	41.09142857	41.08571429	41.06285714	41.08714286	41.02285714	41.07571429	41.03142857	41.04428571	41.06285714	41.06714286	41.05428571	41.01714286
25-Jul	4	Non Dose 2	Post Dose 1	41.10142857	41.06714286	41.04	41.08142857	41.04428571	41.06428571	41.02428571	41.03285714	41.07	41.06428571	41.06857143	41.02
25-Jul	4	Non Dose 2	Post Dose 2	41.10285714	41.08428571	41.06142857	41.08142857	41.04	41.07428571	41.04	41.05285714	41.07571429	41.06714286	41.07428571	41.03
25-Jul	4	Non Dose 2	Post Dose 3	41.09428571	41.08285714	41.06	41.07285714	41.04571429	41.07	41.02142857	41.04571429	41.06	41.07571429	41.05142857	41.02
25-Jul	4	Non Dose 2	Post Dose 4	41.09857143	41.07	41.06285714	41.09285714	41.04285714	41.07857143	41.02857143	41.03285714	41.07	41.04857143	41.06571429	41.02
25-Jul	4	Non Dose 2	Post Dose 5	41.08142857	41.09428571	41.05285714	41.08857143	41.04857143	41.06142857	41.03285714	41.04714286	41.08	41.03857143	41.06571429	41.03142857
25-Jul	4	Non Dose 2	Post Dose 6	41.08571429	41.08142857	41.07	41.08285714	41.03714286	41.05571429	41.03	41.04285714	41.06285714	41.04	41.07571429	41.02428571
